Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Other,Year
4,Russell Westbrook,26,OKC,0.0,352.0,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,.426,.299,.835,10.6,.222,westbru01,2015
5,Anthony Davis,21,NOP,0.0,203.0,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274,davisan02,2015
6,Chris Paul,29,LAC,0.0,124.0,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,.485,.398,.900,16.1,.270,paulch01,2015
7,LaMarcus Aldridge,29,POR,0.0,6.0,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1.0,.466,.352,.845,8.6,.165,aldrila01,2015
8T,Marc Gasol,30,MEM,0.0,3.0,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182,gasolma01,2015
8T,Blake Griffin,25,LAC,0.0,3.0,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,.502,.400,.728,9.0,.183,griffbl01,2015
10T,Tim Duncan,38,SAS,0.0,1.0,1300,0.001,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,.286,.740,9.6,.207,duncati01,2015
10T,Kawhi Leonard,23,SAS,0.0,1.0,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,leonaka01,2015
10T,Klay Thompson,24,GSW,0.0,1.0,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,.463,.439,.879,8.8,.172,thompkl01,2015
1,Stephen Curry,27,GSW,131.0,1310.0,1310,1.000,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,.318,curryst01,2016
2,Kawhi Leonard,24,SAS,0.0,634.0,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,leonaka01,2016
3,LeBron James,31,CLE,0.0,631.0,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,.520,.309,.731,13.6,.242,jamesle01,2016
4,Russell Westbrook,27,OKC,0.0,486.0,1310,0.371,80,34.4,23.5,7.8,10.4,2.0,0.3,.454,.296,.812,14.0,.245,westbru01,2016
5,Kevin Durant,27,OKC,0.0,147.0,1310,0.112,72,35.8,28.2,8.2,5.0,1.0,1.2,.505,.387,.898,14.5,.270,duranke01,2016
6,Chris Paul,30,LAC,0.0,107.0,1310,0.082,74,32.7,19.5,4.2,10.0,2.1,0.2,.462,.371,.896,12.7,.253,paulch01,2016
7,Draymond Green,25,GSW,0.0,50.0,1310,0.038,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,.388,.696,11.1,.190,greendr01,2016
8,Damian Lillard,25,POR,0.0,26.0,1310,0.020,75,35.7,25.1,4.0,6.8,0.9,0.4,.419,.375,.892,9.2,.165,lillada01,2016
9,James Harden,26,HOU,0.0,9.0,1310,0.007,82,38.1,29.0,6.1,7.5,1.7,0.6,.439,.359,.860,13.3,.204,hardeja01,2016
10,Kyle Lowry,29,TOR,0.0,6.0,1310,0.005,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,.388,.811,11.6,.196,lowryky01,2016
1,Russell Westbrook,28,OKC,69.0,888.0,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,.425,.343,.845,13.1,.224,westbru01,2017
2,James Harden,27,HOU,22.0,753.0,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,.440,.347,.847,15.0,.245,hardeja01,2017
3,Kawhi Leonard,25,SAS,9.0,500.0,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,.485,.380,.880,13.6,.264,leonaka01,2017
4,LeBron James,32,CLE,1.0,333.0,1010,0.330,74,37.8,26.4,8.6,8.7,1.2,0.6,.548,.363,.674,12.9,.221,jamesle01,2017
5,Isaiah Thomas,27,BOS,0.0,81.0,1010,0.080,76,33.8,28.9,2.7,5.9,0.9,0.2,.463,.379,.909,12.5,.234,thomais02,2017
6,Stephen Curry,28,GSW,0.0,52.0,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,.468,.411,.898,12.6,.229,curryst01,2017
7T,Giannis Antetokounmpo,22,MIL,0.0,7.0,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210,antetgi01,2017
7T,John Wall,26,WAS,0.0,7.0,1010,0.007,78,36.4,23.1,4.2,10.7,2.0,0.6,.451,.327,.801,8.8,.149,walljo01,2017
9T,Anthony Davis,23,NOP,0.0,2.0,1010,0.002,75,36.1,28.0,11.8,2.1,1.3,2.2,.505,.299,.802,11.0,.195,davisan02,2017
9T,Kevin Durant,28,GSW,0.0,2.0,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,.537,.375,.875,12.0,.278,duranke01,2017
11,DeMar DeRozan,27,TOR,0.0,1.0,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,.467,.266,.842,9.0,.166,derozde01,2017
1,James Harden,28,HOU,86.0,965.0,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,.449,.367,.858,15.4,.289,hardeja01,2018
2,LeBron James,33,CLE,15.0,738.0,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,.542,.367,.731,14.0,.221,jamesle01,2018
3,Anthony Davis,24,NOP,0.0,445.0,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,.534,.340,.828,13.7,.241,davisan02,2018
4,Damian Lillard,27,POR,0.0,207.0,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,.439,.361,.916,12.6,.227,lillada01,2018
5,Russell Westbrook,29,OKC,0.0,76.0,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,.449,.298,.737,10.1,.166,westbru01,2018
6,Giannis Antetokounmpo,23,MIL,0.0,75.0,1010,0.074,75,36.7,26.9,10.0,4.8,1.5,1.4,.529,.307,.760,11.9,.207,antetgi01,2018
7,Kevin Durant,29,GSW,0.0,66.0,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,.516,.419,.889,10.4,.215,duranke01,2018
8,DeMar DeRozan,28,TOR,0.0,32.0,1010,0.032,80,33.9,23.0,3.9,5.2,1.1,0.3,.456,.310,.825,9.6,.170,derozde01,2018
9,LaMarcus Aldridge,32,SAS,0.0,6.0,1010,0.006,75,33.5,23.1,8.5,2.0,0.6,1.2,.510,.293,.837,10.9,.209,aldrila01,2018
10T,Jimmy Butler,28,MIN,0.0,5.0,1010,0.005,59,36.7,22.2,5.3,4.9,2.0,0.4,.474,.350,.854,8.9,.198,butleji01,2018
10T,Stephen Curry,29,GSW,0.0,5.0,1010,0.005,51,32.0,26.4,5.1,6.1,1.6,0.2,.495,.423,.921,9.1,.267,curryst01,2018
12,Joel Embiid,23,PHI,0.0,4.0,1010,0.004,63,30.3,22.9,11.0,3.2,0.6,1.8,.483,.308,.769,6.2,.155,embiijo01,2018
13,Victor Oladipo,25,IND,0.0,2.0,1010,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155,oladivi01,2018
1,Giannis Antetokounmpo,24,MIL,78.0,941.0,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292,antetgi01,2019
2,James Harden,29,HOU,23.0,776.0,1010,0.768,78,36.8,36.1,6.6,7.5,2.0,0.7,.442,.368,.879,15.2,.254,hardeja01,2019
3,Paul George,28,OKC,0.0,356.0,1010,0.352,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,.386,.839,11.9,.201,georgpa01,2019
4,Nikola Jokić,23,DEN,0.0,212.0,1010,0.210,80,31.3,20.1,10.8,7.3,1.4,0.7,.511,.307,.821,11.8,.226,jokicni01,2019
5,Stephen Curry,30,GSW,0.0,175.0,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,.472,.437,.916,9.7,.199,curryst01,2019
6,Damian Lillard,28,POR,0.0,69.0,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,.444,.369,.912,12.1,.205,lillada01,2019
7,Joel Embiid,24,PHI,0.0,49.0,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,.484,.300,.804,8.7,.194,embiijo01,2019
8,Kevin Durant,30,GSW,0.0,25.0,1010,0.025,78,34.6,26.0,6.4,5.9,0.7,1.1,.521,.353,.885,11.5,.204,duranke01,2019
9,Kawhi Leonard,27,TOR,0.0,13.0,1010,0.013,60,34.0,26.6,7.3,3.3,1.8,0.4,.496,.371,.854,9.5,.224,leonaka01,2019
10,Russell Westbrook,30,OKC,0.0,8.0,1010,0.008,73,36.0,22.9,11.1,10.7,1.9,0.5,.428,.290,.656,6.8,.124,westbru01,2019
11T,Rudy Gobert,26,UTA,0.0,1.0,1010,0.001,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,goberru01,2019
1,Giannis Antetokounmpo,25,MIL,85.0,962.0,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,antetgi01,2020
2,LeBron James,35,LAL,16.0,753.0,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,.493,.348,.693,9.8,.204,jamesle01,2020
3,James Harden,30,HOU,0.0,367.0,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,.444,.355,.865,13.1,.254,hardeja01,2020
4,Luka Dončić,20,DAL,0.0,200.0,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,.463,.316,.758,8.8,.207,doncilu01,2020
5,Kawhi Leonard,28,LAC,0.0,168.0,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,.470,.378,.886,8.7,.226,leonaka01,2020
6,Anthony Davis,26,LAL,0.0,82.0,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,.503,.330,.846,11.1,.250,davisan02,2020
7,Chris Paul,34,OKC,0.0,26.0,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,.489,.365,.907,8.9,.193,paulch01,2020
8,Damian Lillard,29,POR,0.0,23.0,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,.463,.401,.888,11.6,.225,lillada01,2020
9,Nikola Jokić,24,DEN,0.0,18.0,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,.528,.314,.817,9.8,.202,jokicni01,2020
10,Pascal Siakam,25,TOR,0.0,17.0,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,.453,.359,.792,5.4,.123,siakapa01,2020
11,Jimmy Butler,30,MIA,0.0,9.0,1010,0.009,58,33.8,19.9,6.7,6.0,1.8,0.6,.455,.244,.834,9.0,.221,butleji01,2020
12,Jayson Tatum,21,BOS,0.0,1.0,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,.450,.403,.812,6.9,.146,tatumja01,2020
1,Nikola Jokić,25,DEN,91.0,971.0,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,.566,.388,.868,15.6,.301,jokicni01,2021
2,Joel Embiid,26,PHI,1.0,586.0,1010,0.580,51,31.1,28.5,10.6,2.8,1.0,1.4,.513,.377,.859,8.8,.266,embiijo01,2021
3,Stephen Curry,32,GSW,5.0,453.0,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,.482,.421,.916,9.0,.201,curryst01,2021
4,Giannis Antetokounmpo,26,MIL,1.0,348.0,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,.569,.303,.685,10.2,.244,antetgi01,2021
5,Chris Paul,35,PHO,2.0,139.0,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,.499,.395,.934,9.2,.201,paulch01,2021
6,Luka Dončić,21,DAL,0.0,42.0,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,.479,.350,.730,7.7,.163,doncilu01,2021
7,Damian Lillard,30,POR,0.0,38.0,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,.451,.391,.928,10.4,.209,lillada01,2021
8,Julius Randle,26,NYK,0.0,20.0,1010,0.020,71,37.6,24.1,10.2,6.0,0.9,0.3,.456,.411,.811,7.8,.140,randlju01,2021
9,Derrick Rose,32,TOT,1.0,10.0,1010,0.010,50,25.6,14.7,2.6,4.2,1.0,0.4,.470,.388,.866,3.1,.118,rosede01,2021
10,Rudy Gobert,28,UTA,0.0,8.0,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,goberru01,2021
11,Russell Westbrook,32,WAS,0.0,5.0,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,.439,.315,.656,3.7,.075,westbru01,2021
12,Ben Simmons,24,PHI,0.0,3.0,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,.557,.300,.613,6.0,.153,simmobe01,2021
13T,James Harden,31,TOT,0.0,1.0,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,.466,.362,.861,7.0,.208,hardeja01,2021
13T,LeBron James,36,LAL,0.0,1.0,1010,0.001,45,33.4,25.0,7.7,7.8,1.1,0.6,.513,.365,.698,5.6,.179,jamesle01,2021
13T,Kawhi Leonard,29,LAC,0.0,1.0,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,.512,.398,.885,8.8,.238,leonaka01,2021
1,Nikola Jokić,26,DEN,65.0,875.0,1000,0.875,74,33.5,27.1,13.8,7.9,1.5,0.9,.583,.337,.810,15.2,.296,jokicni01,2022
2,Joel Embiid,27,PHI,26.0,706.0,1000,0.706,68,33.8,30.6,11.7,4.2,1.1,1.5,.499,.371,.814,12.0,.252,embiijo01,2022
3,Giannis Antetokounmpo,27,MIL,9.0,595.0,1000,0.595,67,32.9,29.9,11.6,5.8,1.1,1.4,.553,.293,.722,12.9,.281,antetgi01,2022
4,Devin Booker,25,PHO,0.0,216.0,1000,0.216,68,34.5,26.8,5.0,4.8,1.1,0.4,.466,.383,.868,7.6,.156,bookede01,2022
5,Luka Dončić,22,DAL,0.0,146.0,1000,0.146,65,35.4,28.4,9.1,8.7,1.2,0.6,.457,.353,.744,7.6,.159,doncilu01,2022
6,Jayson Tatum,23,BOS,0.0,43.0,1000,0.043,76,35.9,26.9,8.0,4.4,1.0,0.6,.453,.353,.853,9.6,.169,tatumja01,2022
7,Ja Morant,22,MEM,0.0,10.0,1000,0.010,57,33.1,27.4,5.7,6.7,1.2,0.4,.493,.344,.761,6.7,.171,moranja01,2022
8,Stephen Curry,33,GSW,0.0,4.0,1000,0.004,64,34.5,25.5,5.2,6.3,1.3,0.4,.437,.380,.923,8.0,.173,curryst01,2022
9,Chris Paul,36,PHO,0.0,2.0,1000,0.002,65,32.9,14.7,4.4,10.8,1.9,0.3,.493,.317,.837,9.4,.210,paulch01,2022
10T,DeMar DeRozan,32,CHI,0.0,1.0,1000,0.001,76,36.1,27.9,5.2,4.9,0.9,0.3,.504,.352,.877,8.8,.154,derozde01,2022
10T,Kevin Durant,33,BRK,0.0,1.0,1000,0.001,55,37.2,29.9,7.4,6.4,0.9,0.9,.518,.383,.910,8.4,.198,duranke01,2022
10T,LeBron James,37,LAL,0.0,1.0,1000,0.001,56,37.2,30.3,8.2,6.2,1.3,1.1,.524,.359,.756,7.5,.172,jamesle01,2022
1,Joel Embiid,28,PHI,73.0,915.0,1000,0.915,66,34.6,33.1,10.2,4.2,1.0,1.7,.548,.330,.857,12.3,.259,embiijo01,2023
2,Nikola Jokić,27,DEN,15.0,674.0,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,.632,.383,.822,14.9,.308,jokicni01,2023
3,Giannis Antetokounmpo,28,MIL,12.0,606.0,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,.553,.275,.645,8.6,.204,antetgi01,2023
4,Jayson Tatum,24,BOS,0.0,280.0,1000,0.280,74,36.9,30.1,8.8,4.6,1.1,0.7,.466,.350,.854,10.5,.185,tatumja01,2023
5,Shai Gilgeous-Alexander,24,OKC,0.0,46.0,1000,0.046,68,35.5,31.4,4.8,5.5,1.6,1.0,.510,.345,.905,11.4,.226,gilgesh01,2023
6,Donovan Mitchell,26,CLE,0.0,30.0,1000,0.030,68,35.8,28.3,4.3,4.4,1.5,0.4,.484,.386,.867,8.9,.176,mitchdo01,2023
7,Domantas Sabonis,26,SAC,0.0,27.0,1000,0.027,79,34.6,19.1,12.3,7.3,0.8,0.5,.615,.373,.742,12.6,.221,sabondo01,2023
8,Luka Dončić,23,DAL,0.0,10.0,1000,0.010,66,36.2,32.4,8.6,8.0,1.4,0.5,.496,.342,.742,10.2,.204,doncilu01,2023
9,Stephen Curry,34,GSW,0.0,5.0,1000,0.005,56,34.7,29.4,6.1,6.3,0.9,0.4,.493,.427,.915,7.8,.192,curryst01,2023
10,Jimmy Butler,33,MIA,0.0,3.0,1000,0.003,64,33.4,22.9,5.9,5.3,1.8,0.3,.539,.350,.850,12.3,.277,butleji01,2023
11,De'Aaron Fox,25,SAC,0.0,2.0,1000,0.002,73,33.4,25.0,4.2,6.1,1.1,0.3,.512,.324,.780,7.4,.146,foxde01,2023
12T,Jalen Brunson,26,NYK,0.0,1.0,1000,0.001,68,35.0,24.0,3.5,6.2,0.9,0.2,.491,.416,.829,8.7,.175,brunsja01,2023
12T,Ja Morant,23,MEM,0.0,1.0,1000,0.001,61,31.9,26.2,5.9,8.1,1.1,0.3,.466,.307,.748,6.0,.148,moranja01,2023
